exp_name,dataset_name,file_size_bytes,pipeline,n_runs,compression_ratio_mean,compression_ratio_stdev,encode_ms_mean,encode_ms_stdev,decode_ms_mean,decode_ms_stdev,build_huffman_ms_mean,build_huffman_ms_stdev,build_obst_ms_mean,build_obst_ms_stdev,total_ms_mean,total_ms_stdev,lookup_comparisons_per_symbol_mean,lookup_comparisons_per_symbol_stdev,correctness_ok_rate
exp2_size_scaling,uniform256,4096,huffman,7,0.9977329799107143,0.00048243335940398134,11.430314285714285,0.11319879900086433,18.19457142857143,1.4326249470980257,2.411842857142857,0.2605501350165508,0.0,0.0,32.03672857142857,1.6290954808464384,0.0,0.0,1.0
exp2_size_scaling,uniform256,4096,huffman+obst,7,0.9977329799107143,0.00048243335940398134,20.725328571428573,1.4077245300061196,18.158085714285715,1.4103923501737279,2.2320571428571427,0.02072493322408677,2237.4893714285713,27.1249359713969,2278.604842857143,28.2792149625162,6.893624441964286,0.012366081580108206,1.0
exp2_size_scaling,uniform256,8192,huffman,7,0.9996686662946429,0.00013582730475199874,22.3822,1.4234434352419258,34.126557142857145,2.39313155290799,2.199242857142857,0.1359421060248671,0.0,0.0,58.708,3.8734283789256603,0.0,0.0,1.0
exp2_size_scaling,uniform256,8192,huffman+obst,7,0.9996686662946429,0.00013582730475199874,39.357728571428574,2.404294867325474,33.69047142857143,2.060495428057927,2.2196571428571428,0.14495409453964908,2231.7727142857143,141.64881749895213,2307.0405714285716,144.9662593914152,6.956804547991071,0.003863693207258759,1.0
exp2_size_scaling,uniform256,16384,huffman,7,0.9999912806919643,2.3069120667067093e-05,44.87818571428571,3.1817030892424962,67.22268571428572,4.360345500236027,2.244285714285714,0.164982659983521,0.0,0.0,114.34515714285715,7.555294177342832,0.0,0.0,1.0
exp2_size_scaling,uniform256,16384,huffman+obst,7,0.9999912806919643,2.3069120667067093e-05,78.12144285714285,4.7163229225238394,68.15227142857142,4.8623134081471555,2.2061428571428574,0.14705206399030762,2192.5734857142857,50.29833485512317,2341.0533428571425,56.29585960965097,6.991132463727679,0.005082890436918148,1.0
exp2_size_scaling,uniform256,32768,huffman,7,1.0,0.0,90.17055714285713,0.9043492243175811,137.4363857142857,2.145145938647357,2.2771857142857144,0.02362297106430017,0.0,0.0,229.88412857142856,2.439495761227647,0.0,0.0,1.0
exp2_size_scaling,uniform256,32768,huffman+obst,7,1.0,0.0,161.56300000000002,1.7866835282164537,137.16061428571427,1.1015165219347518,2.303057142857143,0.09762948422723632,2248.5759714285714,23.161728866222035,2549.602642857143,24.595150694317546,7.012581961495536,0.00405343115939795,1.0
exp2_size_scaling,uniform256,65536,huffman,7,1.0,0.0,178.5617142857143,9.588445689548879,269.3043,14.830011161155614,2.2812714285714284,0.16157821340644607,0.0,0.0,450.1472857142857,24.4552173390757,0.0,0.0,1.0
exp2_size_scaling,uniform256,65536,huffman+obst,7,1.0,0.0,322.08322857142855,2.6839666743548896,273.7678,1.8450980136567243,2.249885714285714,0.08085102408280372,2217.3483857142855,79.98336407702601,2815.4492999999998,82.08758380283004,7.024939400809152,0.0036891874698385067,1.0
exp2_size_scaling,uniform256,131072,huffman,7,1.0,0.0,355.6568285714286,21.18745888064558,542.8877285714285,6.5551523370842295,2.306657142857143,0.2257340681505774,0.0,0.0,900.8512142857143,27.79009484243309,0.0,0.0,1.0
exp2_size_scaling,uniform256,131072,huffman+obst,7,1.0,0.0,640.8145571428571,13.437875147613818,535.8790428571428,27.552405352337637,2.3452571428571427,0.11694421543543534,2226.554642857143,10.878529779931515,3405.5935,46.02980240438444,7.030795506068638,0.0031071744874410167,1.0
exp2_size_scaling,uniform256,262144,huffman,7,1.0,0.0,807.1958142857143,215.8993316056693,1208.5178714285714,293.9639774078093,2.9266571428571426,1.5736907752765394,0.0,0.0,2018.640342857143,511.3809323499423,0.0,0.0,1.0
exp2_size_scaling,uniform256,262144,huffman+obst,7,1.0,0.0,1301.3408,107.04941807244917,1077.2299,63.61039084966123,2.3981142857142856,0.22057146558104798,2316.5940571428573,275.57145374526647,4697.562871428571,400.1735578440214,7.034093039376395,0.0011063536557639067,1.0
exp2_size_scaling,uniform256,524288,huffman,7,1.0,0.0,1505.2442285714285,41.702466614207026,2280.352385714286,83.59006818590807,2.3533857142857144,0.05357404311080228,0.0,0.0,3787.95,104.39025905203026,0.0,0.0,1.0
exp2_size_scaling,uniform256,524288,huffman+obst,7,1.0,0.0,2652.9429285714286,66.10587726485232,2294.1044142857145,106.9478552696972,2.362214285714286,0.028682133147741384,2351.7438857142856,124.66797878835912,7301.153442857143,221.7036178278322,7.035744803292411,0.0017303653694246207,1.0
exp2_size_scaling,uniform256,1048576,huffman,7,1.0,0.0,2973.622628571429,20.192414270109303,4482.651814285714,46.589721448599605,2.3403857142857145,0.02935651140555977,0.0,0.0,7458.614828571429,65.29626156694613,0.0,0.0,1.0
exp2_size_scaling,uniform256,1048576,huffman+obst,7,1.0,0.0,5269.101985714286,103.45970582133938,4489.442742857143,46.49270226092309,2.4634714285714288,0.3331493344547142,2288.1559142857145,46.132677764625306,12049.164114285713,147.1121724396884,7.037353924342564,0.0008734958905979335,1.0
exp2_size_scaling,uniform256,2097152,huffman,7,1.0,0.0,5688.691242857143,296.6386336175261,9237.746871428571,1901.1698310183265,2.344157142857143,0.3790667261276607,0.0,0.0,14928.78227142857,1966.2684234220244,0.0,0.0,1.0
